"","Organisation Type","Organisation Name","Date","formattedDate","Therapy","Total waiting list","Waiting >18-52 weeks","Waiting >52 weeks","Percentage waiting more than 18 weeks"
"61","ICB","Cheshire and Merseyside","January 2023",2023-01-01,"Audiology",2928,1216,40,42.896174863388
"62","ICB","Cheshire and Merseyside","January 2023",2023-01-01,"Community Paediatric Service",5151,2670,16,52.1452145214521
"63","ICB","Cheshire and Merseyside","January 2023",2023-01-01,"Occupational Therapy",951,111,40,15.8780231335436
"64","ICB","Cheshire and Merseyside","January 2023",2023-01-01,"Speech And Language",5389,1979,328,42.8094266097606
"65","ICB","Cornwall and the Isles of Scilly","January 2023",2023-01-01,"Audiology",201,2,0,0.995024875621891
"66","ICB","Cornwall and the Isles of Scilly","January 2023",2023-01-01,"Community Paediatric Service",651,396,22,64.2089093701997
"67","ICB","Cornwall and the Isles of Scilly","January 2023",2023-01-01,"Occupational Therapy",19,0,0,0
"68","ICB","Cornwall and the Isles of Scilly","January 2023",2023-01-01,"Speech And Language",806,199,2,24.9379652605459
"69","ICB","Coventry and Warwickshire","January 2023",2023-01-01,"Audiology",114,0,0,0
"70","ICB","Coventry and Warwickshire","January 2023",2023-01-01,"Community Paediatric Service",619,233,2,37.9644588045234
"71","ICB","Coventry and Warwickshire","January 2023",2023-01-01,"Occupational Therapy",528,209,62,51.3257575757576
"72","ICB","Coventry and Warwickshire","January 2023",2023-01-01,"Speech And Language",841,146,2,17.5980975029727
"73","ICB","Derby and Derbyshire","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"74","ICB","Derby and Derbyshire","January 2023",2023-01-01,"Community Paediatric Service",1915,1079,202,66.8929503916449
"75","ICB","Derby and Derbyshire","January 2023",2023-01-01,"Occupational Therapy",7,3,2,71.4285714285714
"76","ICB","Derby and Derbyshire","January 2023",2023-01-01,"Speech And Language",874,216,1,24.8283752860412
"77","ICB","Devon","January 2023",2023-01-01,"Audiology",281,0,0,0
"78","ICB","Devon","January 2023",2023-01-01,"Community Paediatric Service",1037,455,374,79.9421407907425
"79","ICB","Devon","January 2023",2023-01-01,"Occupational Therapy",670,269,10,41.6417910447761
"80","ICB","Devon","January 2023",2023-01-01,"Speech And Language",4444,2145,970,70.0945094509451
"81","ICB","Dorset","January 2023",2023-01-01,"Audiology",199,0,0,0
"82","ICB","Dorset","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"83","ICB","Dorset","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"84","ICB","Dorset","January 2023",2023-01-01,"Speech And Language",241,20,1,8.71369294605809
"85","ICB","Frimley","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"86","ICB","Frimley","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"87","ICB","Frimley","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"88","ICB","Frimley","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"89","ICB","Gloucestershire","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"90","ICB","Gloucestershire","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"91","ICB","Gloucestershire","January 2023",2023-01-01,"Occupational Therapy",627,262,1,41.9457735247209
"92","ICB","Gloucestershire","January 2023",2023-01-01,"Speech And Language",612,34,0,5.55555555555556
"93","ICB","Greater Manchester","January 2023",2023-01-01,"Audiology",1912,524,99,32.5836820083682
"94","ICB","Greater Manchester","January 2023",2023-01-01,"Community Paediatric Service",1713,505,10,30.0642148277875
"95","ICB","Greater Manchester","January 2023",2023-01-01,"Occupational Therapy",5603,2125,77,39.3003747992147
"96","ICB","Greater Manchester","January 2023",2023-01-01,"Speech And Language",5847,2108,518,44.9119206430648
"97","ICB","Hampshire and Isle Of Wight","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"98","ICB","Hampshire and Isle Of Wight","January 2023",2023-01-01,"Community Paediatric Service",686,225,2,33.0903790087464
"99","ICB","Hampshire and Isle Of Wight","January 2023",2023-01-01,"Occupational Therapy",502,125,9,26.6932270916335
"100","ICB","Hampshire and Isle Of Wight","January 2023",2023-01-01,"Speech And Language",2423,626,57,28.188196450681
"101","ICB","Herefordshire and Worcestershire","January 2023",2023-01-01,"Audiology",108,14,18,29.6296296296296
"102","ICB","Herefordshire and Worcestershire","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"103","ICB","Herefordshire and Worcestershire","January 2023",2023-01-01,"Occupational Therapy",102,50,10,58.8235294117647
"104","ICB","Herefordshire and Worcestershire","January 2023",2023-01-01,"Speech And Language",414,144,16,38.6473429951691
"105","ICB","Hertfordshire and West Essex","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"106","ICB","Hertfordshire and West Essex","January 2023",2023-01-01,"Community Paediatric Service",5380,2461,1220,68.4200743494424
"107","ICB","Hertfordshire and West Essex","January 2023",2023-01-01,"Occupational Therapy",512,124,5,25.1953125
"108","ICB","Hertfordshire and West Essex","January 2023",2023-01-01,"Speech And Language",1471,324,3,22.2297756628144
"109","ICB","Humber and North Yorkshire","January 2023",2023-01-01,"Audiology",0,0,0,NA
"110","ICB","Humber and North Yorkshire","January 2023",2023-01-01,"Community Paediatric Service",0,0,0,NA
"111","ICB","Humber and North Yorkshire","January 2023",2023-01-01,"Occupational Therapy",98,28,0,28.5714285714286
"112","ICB","Humber and North Yorkshire","January 2023",2023-01-01,"Speech And Language",1759,564,12,32.7458783399659
"113","ICB","Kent and Medway","January 2023",2023-01-01,"Audiology",538,0,0,0
"114","ICB","Kent and Medway","January 2023",2023-01-01,"Community Paediatric Service",4508,2311,125,54.0372670807453
"115","ICB","Kent and Medway","January 2023",2023-01-01,"Occupational Therapy",1155,168,19,16.1904761904762
"116","ICB","Kent and Medway","January 2023",2023-01-01,"Speech And Language",1336,242,3,18.3383233532934
"117","ICB","Lancashire and South Cumbria","January 2023",2023-01-01,"Audiology",132,0,0,0
"118","ICB","Lancashire and South Cumbria","January 2023",2023-01-01,"Community Paediatric Service",1195,207,0,17.3221757322176
"119","ICB","Lancashire and South Cumbria","January 2023",2023-01-01,"Occupational Therapy",504,195,0,38.6904761904762
"120","ICB","Lancashire and South Cumbria","January 2023",2023-01-01,"Speech And Language",3281,1171,10,35.9951234379762
"121","ICB","Leicester, Leicestershire and Rutland","January 2023",2023-01-01,"Audiology",728,3,0,0.412087912087912
"122","ICB","Leicester, Leicestershire and Rutland","January 2023",2023-01-01,"Community Paediatric Service",3153,1359,785,67.9987313669521
"123","ICB","Leicester, Leicestershire and Rutland","January 2023",2023-01-01,"Occupational Therapy",86,6,0,6.97674418604651
"124","ICB","Leicester, Leicestershire and Rutland","January 2023",2023-01-01,"Speech And Language",613,2,0,0.32626427406199
"125","ICB","Lincolnshire","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"126","ICB","Lincolnshire","January 2023",2023-01-01,"Community Paediatric Service",1626,461,0,28.3517835178352
"127","ICB","Lincolnshire","January 2023",2023-01-01,"Occupational Therapy",15,1,0,6.66666666666667
"128","ICB","Lincolnshire","January 2023",2023-01-01,"Speech And Language",985,61,14,7.61421319796954
"129","ICB","Mid and South Essex","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"130","ICB","Mid and South Essex","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"131","ICB","Mid and South Essex","January 2023",2023-01-01,"Occupational Therapy",0,0,0,NA
"132","ICB","Mid and South Essex","January 2023",2023-01-01,"Speech And Language",228,2,0,0.87719298245614
"133","ICB","Norfolk and Waveney","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"134","ICB","Norfolk and Waveney","January 2023",2023-01-01,"Community Paediatric Service",348,8,0,2.29885057471264
"135","ICB","Norfolk and Waveney","January 2023",2023-01-01,"Occupational Therapy",1,0,0,0
"136","ICB","Norfolk and Waveney","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"137","ICB","North Central London","January 2023",2023-01-01,"Audiology",977,196,0,20.0614124872057
"138","ICB","North Central London","January 2023",2023-01-01,"Community Paediatric Service",1204,552,22,47.6744186046512
"139","ICB","North Central London","January 2023",2023-01-01,"Occupational Therapy",519,127,8,26.0115606936416
"140","ICB","North Central London","January 2023",2023-01-01,"Speech And Language",1739,428,3,24.784358826912
"141","ICB","North East and North Cumbria","January 2023",2023-01-01,"Audiology",895,30,5,3.91061452513966
"142","ICB","North East and North Cumbria","January 2023",2023-01-01,"Community Paediatric Service",30,0,0,0
"143","ICB","North East and North Cumbria","January 2023",2023-01-01,"Occupational Therapy",2240,298,442,33.0357142857143
"144","ICB","North East and North Cumbria","January 2023",2023-01-01,"Speech And Language",2736,781,52,30.4459064327485
"145","ICB","North East London","January 2023",2023-01-01,"Audiology",831,481,85,68.1107099879663
"146","ICB","North East London","January 2023",2023-01-01,"Community Paediatric Service",3724,1431,625,55.2094522019334
"147","ICB","North East London","January 2023",2023-01-01,"Occupational Therapy",772,173,20,25
"148","ICB","North East London","January 2023",2023-01-01,"Speech And Language",1688,450,79,31.3388625592417
"149","ICB","North West London","January 2023",2023-01-01,"Audiology",535,97,2,18.5046728971963
"150","ICB","North West London","January 2023",2023-01-01,"Community Paediatric Service",1926,586,44,32.7102803738318
"151","ICB","North West London","January 2023",2023-01-01,"Occupational Therapy",695,185,13,28.4892086330935
"152","ICB","North West London","January 2023",2023-01-01,"Speech And Language",1510,145,16,10.6622516556291
"153","ICB","Northamptonshire","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"154","ICB","Northamptonshire","January 2023",2023-01-01,"Community Paediatric Service",237,13,0,5.48523206751055
"155","ICB","Northamptonshire","January 2023",2023-01-01,"Occupational Therapy",110,13,1,12.7272727272727
"156","ICB","Northamptonshire","January 2023",2023-01-01,"Speech And Language",1613,823,10,51.6429014259144
"157","ICB","Nottingham and Nottinghamshire","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"158","ICB","Nottingham and Nottinghamshire","January 2023",2023-01-01,"Community Paediatric Service",130,0,0,0
"159","ICB","Nottingham and Nottinghamshire","January 2023",2023-01-01,"Occupational Therapy",117,1,0,0.854700854700855
"160","ICB","Nottingham and Nottinghamshire","January 2023",2023-01-01,"Speech And Language",1429,167,2,11.8264520643807
"161","ICB","Shropshire, Telford and Wrekin","January 2023",2023-01-01,"Audiology",222,0,0,0
"162","ICB","Shropshire, Telford and Wrekin","January 2023",2023-01-01,"Community Paediatric Service",581,68,0,11.7039586919105
"163","ICB","Shropshire, Telford and Wrekin","January 2023",2023-01-01,"Occupational Therapy",208,2,0,0.961538461538462
"164","ICB","Shropshire, Telford and Wrekin","January 2023",2023-01-01,"Speech And Language",859,413,24,50.8731082654249
"165","ICB","Somerset","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"166","ICB","Somerset","January 2023",2023-01-01,"Community Paediatric Service",171,22,0,12.8654970760234
"167","ICB","Somerset","January 2023",2023-01-01,"Occupational Therapy",389,89,1,23.1362467866324
"168","ICB","Somerset","January 2023",2023-01-01,"Speech And Language",602,74,0,12.2923588039867
"169","ICB","South East London","January 2023",2023-01-01,"Audiology",952,307,2,32.4579831932773
"170","ICB","South East London","January 2023",2023-01-01,"Community Paediatric Service",4250,1645,111,41.3176470588235
"171","ICB","South East London","January 2023",2023-01-01,"Occupational Therapy",848,205,5,24.7641509433962
"172","ICB","South East London","January 2023",2023-01-01,"Speech And Language",1470,326,68,26.8027210884354
"173","ICB","South West London","January 2023",2023-01-01,"Audiology",477,0,0,0
"174","ICB","South West London","January 2023",2023-01-01,"Community Paediatric Service",507,49,0,9.6646942800789
"175","ICB","South West London","January 2023",2023-01-01,"Occupational Therapy",720,363,3,50.8333333333333
"176","ICB","South West London","January 2023",2023-01-01,"Speech And Language",1130,545,6,48.7610619469027
"177","ICB","South Yorkshire","January 2023",2023-01-01,"Audiology",634,32,0,5.04731861198738
"178","ICB","South Yorkshire","January 2023",2023-01-01,"Community Paediatric Service",0,0,0,NA
"179","ICB","South Yorkshire","January 2023",2023-01-01,"Occupational Therapy",272,2,0,0.735294117647059
"180","ICB","South Yorkshire","January 2023",2023-01-01,"Speech And Language",1799,642,65,39.2996108949416
"181","ICB","Staffordshire and Stoke-on-Trent","January 2023",2023-01-01,"Audiology",724,298,143,60.9116022099448
"182","ICB","Staffordshire and Stoke-on-Trent","January 2023",2023-01-01,"Community Paediatric Service",1027,314,6,31.1587147030185
"183","ICB","Staffordshire and Stoke-on-Trent","January 2023",2023-01-01,"Occupational Therapy",110,3,0,2.72727272727273
"184","ICB","Staffordshire and Stoke-on-Trent","January 2023",2023-01-01,"Speech And Language",736,23,0,3.125
"185","ICB","Suffolk and North East Essex","January 2023",2023-01-01,"Audiology",371,2,0,0.539083557951482
"186","ICB","Suffolk and North East Essex","January 2023",2023-01-01,"Community Paediatric Service",2940,1437,220,56.3605442176871
"187","ICB","Suffolk and North East Essex","January 2023",2023-01-01,"Occupational Therapy",650,187,14,30.9230769230769
"188","ICB","Suffolk and North East Essex","January 2023",2023-01-01,"Speech And Language",1122,206,7,18.9839572192513
"189","ICB","Surrey Heartlands","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"190","ICB","Surrey Heartlands","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"191","ICB","Surrey Heartlands","January 2023",2023-01-01,"Occupational Therapy",163,42,67,66.8711656441718
"192","ICB","Surrey Heartlands","January 2023",2023-01-01,"Speech And Language",226,127,1,56.6371681415929
"193","ICB","Sussex","January 2023",2023-01-01,"Audiology",307,2,0,0.651465798045603
"194","ICB","Sussex","January 2023",2023-01-01,"Community Paediatric Service",3435,1076,1131,64.2503639010189
"195","ICB","Sussex","January 2023",2023-01-01,"Occupational Therapy",427,57,0,13.3489461358314
"196","ICB","Sussex","January 2023",2023-01-01,"Speech And Language",1818,561,6,31.1881188118812
"197","ICB","West Yorkshire","January 2023",2023-01-01,"Audiology",867,10,0,1.15340253748558
"198","ICB","West Yorkshire","January 2023",2023-01-01,"Community Paediatric Service",2430,1028,0,42.3045267489712
"199","ICB","West Yorkshire","January 2023",2023-01-01,"Occupational Therapy",429,63,2,15.1515151515152
"200","ICB","West Yorkshire","January 2023",2023-01-01,"Speech And Language",6068,1816,437,37.1292023731048
"201","Organisation","Accelerate CIC","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"202","Organisation","Accelerate CIC","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"203","Organisation","Accelerate CIC","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"204","Organisation","Accelerate CIC","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"205","Organisation","Airedale NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"206","Organisation","Airedale NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"207","Organisation","Airedale NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",61,5,1,9.83606557377049
"208","Organisation","Airedale NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",271,34,0,12.5461254612546
"209","Organisation","Alder Hey Children's NHS Foundation Trust","January 2023",2023-01-01,"Audiology",1950,1070,40,56.9230769230769
"210","Organisation","Alder Hey Children's NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",2229,1081,0,48.4970838941229
"211","Organisation","Alder Hey Children's NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",245,0,0,0
"212","Organisation","Alder Hey Children's NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",1586,667,0,42.0554854981084
"213","Organisation","Allied Health Professionals Suffolk CIC","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"214","Organisation","Allied Health Professionals Suffolk CIC","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"215","Organisation","Allied Health Professionals Suffolk CIC","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"216","Organisation","Allied Health Professionals Suffolk CIC","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"217","Organisation","Barnet, Enfield and Haringey Mental Health NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"218","Organisation","Barnet, Enfield and Haringey Mental Health NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",403,173,4,43.9205955334988
"219","Organisation","Barnet, Enfield and Haringey Mental Health NHS Trust","January 2023",2023-01-01,"Occupational Therapy",127,29,0,22.8346456692913
"220","Organisation","Barnet, Enfield and Haringey Mental Health NHS Trust","January 2023",2023-01-01,"Speech And Language",417,98,0,23.5011990407674
"221","Organisation","Barts Health NHS Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"222","Organisation","Barts Health NHS Trust","January 2023",2023-01-01,"Community Paediatric Service",824,452,238,83.7378640776699
"223","Organisation","Barts Health NHS Trust","January 2023",2023-01-01,"Occupational Therapy",47,3,0,6.38297872340426
"224","Organisation","Barts Health NHS Trust","January 2023",2023-01-01,"Speech And Language",391,232,0,59.3350383631714
"225","Organisation","Bedfordshire Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"226","Organisation","Bedfordshire Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",49,1,0,2.04081632653061
"227","Organisation","Bedfordshire Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"228","Organisation","Bedfordshire Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",NA,NA,NA,NA
"229","Organisation","Berkshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"230","Organisation","Berkshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",188,0,0,0
"231","Organisation","Berkshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",829,366,253,74.6682750301568
"232","Organisation","Berkshire Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",999,409,22,43.1431431431431
"233","Organisation","Birmingham Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"234","Organisation","Birmingham Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",4373,2054,148,50.3544477475417
"235","Organisation","Birmingham Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",300,22,0,7.33333333333333
"236","Organisation","Birmingham Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",2635,561,33,22.5426944971537
"237","Organisation","Black Country Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"238","Organisation","Black Country Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"239","Organisation","Black Country Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",60,0,0,0
"240","Organisation","Black Country Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",147,12,0,8.16326530612245
"241","Organisation","Blackpool Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Audiology",132,0,0,0
"242","Organisation","Blackpool Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"243","Organisation","Blackpool Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",60,3,0,5
"244","Organisation","Blackpool Teaching Hospitals NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",616,260,10,43.8311688311688
"245","Organisation","Bolton NHS Foundation Trust","January 2023",2023-01-01,"Audiology",191,33,0,17.2774869109948
"246","Organisation","Bolton NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",456,126,1,27.8508771929825
"247","Organisation","Bolton NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",75,18,0,24
"248","Organisation","Bolton NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",104,0,0,0
"249","Organisation","Bradford District Care NHS Foundation Trust","January 2023",2023-01-01,"Audiology",NA,NA,NA,NA
"250","Organisation","Bradford District Care NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",NA,NA,NA,NA
"251","Organisation","Bradford District Care NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",NA,NA,NA,NA
"252","Organisation","Bradford District Care NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",441,62,4,14.9659863945578
"253","Organisation","Bridgewater Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Audiology",154,13,0,8.44155844155844
"254","Organisation","Bridgewater Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Community Paediatric Service",1210,681,16,57.603305785124
"255","Organisation","Bridgewater Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Occupational Therapy",121,1,0,0.826446280991736
"256","Organisation","Bridgewater Community Healthcare NHS Foundation Trust","January 2023",2023-01-01,"Speech And Language",1575,619,2,39.4285714285714
"257","Organisation","Bromley Healthcare","January 2023",2023-01-01,"Audiology",700,291,0,41.5714285714286
"258","Organisation","Bromley Healthcare","January 2023",2023-01-01,"Community Paediatric Service",1455,612,80,47.5601374570447
"259","Organisation","Bromley Healthcare","January 2023",2023-01-01,"Occupational Therapy",113,40,0,35.3982300884956
"260","Organisation","Bromley Healthcare","January 2023",2023-01-01,"Speech And Language",271,45,34,29.1512915129151
